Release Date,Episode Title,pos,neg,neu,compound,Episode,Season,Name,Sentence
03/06/2012,Valar Morghulis,0.262,0.022,0.716,0.9337,10.0,2.0,jaime lannister,"Ah. ""They lay with lions."" Tavern girls, I'd say. Probably served my father's soldiers. Maybe one of them gave up a kiss and a feel. That's how they earned this. The glorious work of the Northern freedom fighters. Must make you proud to serve the Starks."
12/04/2015,The Wars to Come,0.206,0.0,0.794,0.0772,1.0,5.0,jaime lannister,This is exactly what they want.
27/04/2014,Oathkeeper,0.0,0.61,0.39,-0.6908,4.0,4.0,sansa stark,Did you kill Joffrey?
07/06/2015,The Dance of Dragons,0.178,0.0,0.822,0.0772,9.0,5.0,meryn,Do you have what I want or not?
26/06/2016,The Winds of Winter,0.0,0.14,0.86,-0.4767,10.0,6.0,walder,I've defeated mine. Riverrun belonged to House Tully for a thousand years. Now it's mine. What do you call that? Victory.
01/04/2012,The North Remembers,0.0,0.0,1.0,0.0,1.0,2.0,catelyn stark,King Renly. There's a king in every corner now.
10/05/2015,Kill the Boy,1.0,0.0,0.0,0.3182,5.0,5.0,shireen,I promise.
19/06/2016,Battle of the Bastards,0.0,0.0,1.0,0.0,9.0,6.0,jon snow,He's overconfident.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,5.0,7.0,jon snow,Bran saw the Night King and his army marching towards Eastwatch. If they make it past the wall --
03/06/2012,Valar Morghulis,0.0,0.091,0.909,-0.1027,10.0,2.0,theon greyjoy,You may be right. But I've gone too far to pretend to be anything else.
01/04/2012,The North Remembers,0.0,0.0,1.0,0.0,1.0,2.0,joffrey lannister,What did you say? Did you say I can't?
05/06/2011,The Pointy End,0.0,0.0,1.0,0.0,8.0,1.0,syrio forel,And why is it that Lord Eddard is sending Lannister men in place of his own? I am wondering.
11/05/2014,The Laws of Gods and Men,0.0,0.0,1.0,0.0,6.0,4.0,tywin lannister,"You're excused, Lord Varys."
27/04/2014,Oathkeeper,0.256,0.0,0.744,0.4767,4.0,4.0,margaery tyrell,That's a relief. Because you know what happens when we marry?
06/08/2017,The Spoils Of War,0.0,0.0,1.0,0.0,4.0,7.0,man,"Hey, oh. Where are you going?"
20/05/2012,The Prince of Winterfell,0.706,0.0,0.294,0.7351,8.0,2.0,davos,"Your Grace, I pray I serve you well."
27/04/2014,Oathkeeper,0.244,0.0,0.756,0.6369,4.0,4.0,jon snow,Have you ever held a sword before? OLLY I was the best archer in our hamlet.
27/05/2012,Blackwater,0.0,0.0,1.0,0.0,9.0,2.0,prostitute,Oh.
17/04/2011,Winter is Coming,0.0,0.0,1.0,0.0,1.0,1.0,jon snow,What is it?
05/05/2019,The Last of the Starks,0.396,0.0,0.604,0.7096,4.0,8.0,tyrion lannister,This is clever. Even better than the saddle I designed for you.
03/06/2012,Valar Morghulis,0.146,0.0,0.854,0.5859,10.0,2.0,catelyn stark,"And you agreed to it. You gave him your word. Treat your oaths recklessly, and your people will do the same. If your father lived his life for one thing"
06/04/2014,Two Swords,0.0,0.0,1.0,0.0,1.0,4.0,alliser thorne,"I am acting commander here, Maester Aemon."
30/07/2017,The Queen’s Justice,0.0,0.0,1.0,0.0,3.0,7.0,daenerys targaryen,We need to find Euron Greyjoy's fleet and sink it.
22/05/2011,A Golden Crown,0.0,0.18,0.82,-0.296,6.0,1.0,sansa stark,"No. Where are you from anyway, the north or the south?"
02/06/2013,The Rains of Castamere,0.0,0.0,1.0,0.0,9.0,3.0,catelyn stark,"Don't you drink, Lord Bolton?"
03/06/2012,Valar Morghulis,0.0,0.0,1.0,0.0,10.0,2.0,stannis baratheon,Show me.
08/05/2011,"Cripples, Bastards and Broken Things",0.188,0.0,0.812,0.7579,4.0,1.0,rast,"You are in love, Lord Snow. You girls can do as you please. But if Thorne puts me up against Lady Piggy, I'm gonna slice me off a side of bacon."
03/06/2012,Valar Morghulis,1.0,0.0,0.0,0.4019,10.0,2.0,stannis baratheon,Yes.
15/05/2016,Book of the Stranger,0.0,0.0,1.0,0.0,4.0,6.0,jon snow,SNOW takes the letter. The man leaves. JON SNOW sees the seal of House Bolton. He opens the scroll and starts reading.
13/04/2014,The Lion and the Rose,0.31,0.0,0.69,0.2023,2.0,4.0,theon greyjoy,"A fine shot, master. My lady."
22/05/2016,The Door,0.294,0.0,0.706,0.3612,5.0,6.0,jon snow,"Year, it's -- I like the wolf bit."
12/05/2019,The Bells,0.0,0.362,0.638,-0.1779,5.0,8.0,jon snow,Find somewhere to hide.
20/05/2012,The Prince of Winterfell,0.092,0.553,0.355,-0.8176,8.0,2.0,lord of bones,What does Mance want with a dead man's bastard?
09/06/2013,Mhysa,0.442,0.0,0.558,0.8271,10.0,3.0,maester aemon,"Good. Samwell, fetch a quill and inkwell. I hope your penmanship is better than your swordplay."
31/03/2013,Valar Dohaeris,0.179,0.464,0.357,-0.7003,1.0,3.0,mance,He was our enemy and I'm glad he's dead.
14/04/2019,Winterfell,0.0,0.545,0.455,-0.5574,1.0,8.0,euron greyjoy,Wars sometimes last years.
01/04/2012,The North Remembers,0.0,0.0,1.0,0.0,1.0,2.0,jon snow,Jon Snow.
04/05/2014,First of His Name,0.107,0.0,0.893,0.2023,5.0,4.0,grenn,Karl was a top paid cutthroat in Flea Bottom. I've seen what he can do with a knife.
21/04/2013,And Now His Watch Is Ended,0.0,1.0,0.0,-0.296,4.0,3.0,gilly,No.
01/06/2014,The Mountain and the Viper,0.0,0.0,1.0,0.0,8.0,4.0,lord royce,"Aye, it's time."
15/04/2012,What Is Dead May Never Die,0.0,0.0,1.0,0.0,3.0,2.0,loras,Your vassals are starting to snigger behind your back. Brides aren't usually virgins two weeks after their wedding night.
01/05/2011,Lord Snow,0.0,0.216,0.784,-0.296,3.0,1.0,jon snow,Will you stop at Winterfell on your way South?
28/04/2013,Kissed by Fire,0.31,0.226,0.464,0.3692,5.0,3.0,tyrion lannister,The Tyrell army is helping us to win this war. Do you really think it's wise to refuse them?
13/05/2012,A Man Without Honor,0.191,0.0,0.809,0.7096,7.0,2.0,spice king,"Your ambition is an inspiration. But like all upstarts, you overreach. Three dragons the size of cats and an alliance with a charlatan do not make you a king."
06/08/2017,The Spoils Of War,0.0,0.0,1.0,0.0,4.0,7.0,arya stark,"Go ask Jon Snow then, the King in the North. He's my brother"
12/05/2019,The Bells,0.315,0.0,0.685,0.3182,5.0,8.0,daenerys targaryen,He knows the truth about Jon.
19/06/2016,Battle of the Bastards,0.19,0.135,0.675,0.5574,9.0,6.0,tormund,"Oh. Well, you loved that cunt Stannis and I loved the man he burned. Mance didn't have demons in his skull. He didn't torch people or listen to some red witch. I believed in him. I thought he was the man to lead us through the Long Night. But I was wrong just like you."
08/05/2016,Oathbreaker,0.0,0.333,0.667,-0.9477,3.0,6.0,maester pycelle,"As bad as Lord Varys was Varys was, Qyburn is worse I told them all I told them He's arrogant, dangerous You don't get thrown out of the Citadel without good reason And no one listened to my advice, so here we are"
07/06/2015,The Dance of Dragons,0.0,0.206,0.794,-0.6908,9.0,5.0,jaime lannister,He said it was just a fleabite. The fault is mine. Bronn is merely a soldier following my orders. If anyone should be punished it's me.
03/06/2012,Valar Morghulis,1.0,0.0,0.0,0.6351,10.0,2.0,doreah,Please! Please!
27/08/2017,The Dragon and the Wolf,0.0,0.0,1.0,0.0,7.0,7.0,bran stark,Come in.
01/04/2012,The North Remembers,0.0,0.306,0.694,-0.296,1.0,2.0,melisandre,He has no need for ships.
24/04/2015,The Red Woman,0.0,0.0,1.0,0.0,1.0,6.0,alliser thorne,You're right!
08/05/2011,"Cripples, Bastards and Broken Things",0.0,0.187,0.813,-0.3182,4.0,1.0,jory cassel,The siege of Pyke. We fought side by side one afternoon.
13/04/2014,The Lion and the Rose,0.0,0.0,1.0,0.0,2.0,4.0,roose,You flayed him.
